i (mA/cm2),eta_a,eta_c,eta_ohmic,Eload
416.69816371331456,0.14,-0.41718982032213575,0.10417454092832863,0.4762124920963649
441.3829670347266,0.14500000000000002,-0.42251072507103066,0.11034574175868166,0.45972038651711694
467.2640273996044,0.15000000000000002,-0.4277791329390985,0.11681600684990111,0.4429817135578296
494.41309210978255,0.15500000000000003,-0.4330009963110832,0.12360327302744564,0.4259725840083004
522.9055442963236,0.16000000000000003,-0.43818158731825885,0.1307263860740809,0.4086688799544895
552.8206204164582,0.16500000000000004,-0.44332558421239043,0.13820515510411455,0.3910461140303243
584.2416389630487,0.16999999999999993,-0.4484371450352932,0.14606040974076218,0.37307929857077393
617.2562410531721,0.17500000000000004,-0.4535199707618838,0.154314060263293,0.35474282232165244
651.9566435970623,0.17999999999999994,-0.4585773596674051,0.1629891608992656,0.3360103327801586
688.4399057854532,0.18500000000000005,-0.46361225433585546,0.1721099764463633,0.31685462256461044
726.8082096721828,0.18999999999999995,-0.46862728246411345,0.18170205241804568,0.29724751846467024
767.1691556701858,0.19500000000000006,-0.4736247924082335,0.19179228891754643,0.27715977202104924
809.6360738224485,0.19999999999999996,-0.47860688425242404,0.2024090184556121,0.2565609506387932
854.3283517556943,0.20500000000000007,-0.4835754370480218,0.21358208793892355,0.23541932835988388
901.3717802731852,0.20999999999999996,-0.48853213276216845,0.2253429450682963,0.21370177551636454
950.8989175946335,0.21500000000000008,-0.49347847738850736,0.2377247293986584,0.19137364655966344
1003.0494733056416,0.21999999999999997,-0.4984158196008194,0.2507623683264104,0.16839866541959952
1057.970713136679,0.2250000000000001,-0.5033453672718998,0.2644926782841697,0.14473880779075965
1115.8178857524274,0.22999999999999998,-0.5082682021315794,0.27895447143810687,0.12035417977714297
1176.7546727966796,0.235,-0.5131852927976657,0.2941886681991699,0.0952028923499938
1240.9536635058246,0.24,-0.5180975063801211,0.3102384158764561,0.06924093109025209
1308.5968552758266,0.245,-0.5230056188307985,0.3271492138189566,0.04242202069707407
